[ 2016-02-28 02:20:24 / pinkman02    /  39475 /     90 ]: task end: 'initial search for cvtpd2ps_xmm_xmm with budget=802499' with result 'Initial search timeout'
[ 2016-02-28 02:21:04 / pinkman02    /  39475 /     83 ]: task end: 'initial search for pcmpeqb_xmm_xmm with budget=35392052' with result 'Initial search timeout'
[ 2016-02-28 02:23:18 / pinkman02    /  39475 /    192 ]: task end: 'initial search for vpcmpeqb_xmm_xmm_xmm with budget=5254027' with result 'Initial search timeout'
[ 2016-02-28 02:23:41 / pinkman02    /  39475 /    174 ]: task end: 'secondary search for maxpd_xmm_xmm with budget=10000000' with result 'Secondary search timeout'
[ 2016-02-28 02:23:53 / pinkman02    /  39475 /    166 ]: task end: 'secondary search for pmovsxbd_xmm_xmm with budget=10000000' with result 'Secondary search timeout'
[ 2016-02-28 02:24:25 / pinkman02    /  39475 /    174 ]: verification for maxpd_xmm_xmm: verified
[ 2016-02-28 02:24:31 / pinkman02    /  39475 /    174 ]: verification for maxpd_xmm_xmm: verified
[ 2016-02-28 02:24:31 / pinkman02    /  39475 /    174 ]: task end: 'secondary search for maxpd_xmm_xmm with budget=10000000' with result 'Secondary search success: New program is correct'
[ 2016-02-28 02:24:38 / pinkman02    /  39475 /    218 ]: task end: 'initial search for psrlq_xmm_xmm with budget=41519516' with result 'Initial search timeout'
[ 2016-02-28 02:24:52 / pinkman02    /  39475 /    174 ]: verification for maxpd_xmm_xmm: verified
[ 2016-02-28 02:24:59 / pinkman02    /  39475 /    174 ]: verification for maxpd_xmm_xmm: unknown
[ 2016-02-28 02:24:59 / pinkman02    /  39475 /    174 ]: task end: 'secondary search for maxpd_xmm_xmm with budget=10000000' with result 'Secondary search success: SMT solver returned unknown while testing against 1 equivalence classes'
[ 2016-02-28 02:25:11 / pinkman02    /  39475 /    216 ]: task end: 'initial search for pmuludq_xmm_xmm with budget=15947148' with result 'Initial search timeout'
[ 2016-02-28 02:25:43 / pinkman02    /  39475 /    163 ]: task end: 'initial search for pavgb_xmm_xmm with budget=17727690' with result 'Initial search timeout'
[ 2016-02-28 02:25:44 / pinkman02    /  39475 /     95 ]: task end: 'initial search for tzcntq_r64_r64 with budget=21497539' with result 'Initial search timeout'
[ 2016-02-28 02:26:12 / pinkman02    /  39475 /    192 ]: task end: 'initial search for vpsravd_xmm_xmm_xmm with budget=1504301' with result 'Initial search timeout'
[ 2016-02-28 02:27:45 / pinkman02    /  39475 /    192 ]: task end: 'initial search for vpmulhrsw_ymm_ymm_ymm with budget=791192' with result 'Initial search timeout'
[ 2016-02-28 02:28:29 / pinkman02    /  39475 /     87 ]: task end: 'initial search for psubsb_xmm_xmm with budget=9745632' with result 'Initial search timeout'
[ 2016-02-28 02:29:00 / pinkman02    /  39475 /     90 ]: task end: 'initial search for pmaxsb_xmm_xmm with budget=5476325' with result 'Initial search timeout'
[ 2016-02-28 02:29:05 / pinkman02    /  39475 /    218 ]: task end: 'initial search for psignb_xmm_xmm with budget=3149688' with result 'Initial search timeout'
[ 2016-02-28 02:30:56 / pinkman02    /  39475 /    186 ]: task end: 'initial search for vpcmpeqd_ymm_ymm_ymm with budget=58113469' with result 'Initial search timeout'
